"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R12R15R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9915384615384616,0.003846153846153846,0.004615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.9831485207100593,0.007614891518737672,0.009127100591715977,0.00002205128205128205,0.00001923076923076923,0.000012820512820512818,9.230769230769229e-6,0,0,0,0,0,0,0,0,0,0,0.00004615384615384615,0,0,0
3,0.9748295716886666,0.011307391581955192,0.013536929740555304,0.00006535768573307035,0.000056984714003944776,0.0000380111768573307,0.000027346508875739644,1.282051282051282e-7,1.7435897435897435e-7,4.6153846153846146e-8,2.205128205128205e-7,9.230769230769229e-8,0,0,0,0,0,0.00013742485207100593,1.9230769230769231e-7,1.2820512820512818e-7,0
4,0.9665810137743779,0.01492481651999392,0.017846626131981375,0.00012914248520136886,0.00011257192668032166,0.00007513231447765472,0.00005401017072371416,5.056459566074951e-7,6.876092702169626e-7,1.8196331360946744e-7,8.74089677843524e-7,3.6577278106508877e-7,1.7435897435897437e-9,1.7435897435897437e-9,1.282051282051282e-9,1.282051282051282e-9,4.615384615384615e-10,0.000272794149476559,7.621548323471401e-7,5.083168967784352e-7,4.615384615384615e-10
5,0.9584022513501331,0.0184683129443416,0.022057916506630762,0.0002126479885872908,0.0001853198105022859,0.00012375471816046963,0.0000888932704268212,1.2464343654646908e-6,1.6948092664205398e-6,4.4837490095584886e-7,2.1655145298572125e-6,9.058744883022303e-7,8.619682445759369e-9,8.619682445759369e-9,6.338510848126233e-9,6.338510848126233e-9,2.281171597633136e-9,0.0004512604107963727,1.8878740991503567e-6,1.2596400415549824e-6,2.281171597633136e-9
6,0.9502926938387091,0.0219390117985171,0.026172500681769316,0.0003151351449195483,0.00027457271171562247,0.00018345944053586792,0.0001316757043836804,2.4580119706320314e-6,3.341885725702869e-6,8.838737550708379e-7,4.291994415730121e-6,1.7948071925704424e-6,2.5567775109964767e-8,2.5567775109964767e-8,1.880285450277314e-8,1.880285450277314e-8,6.764920607191625e-9,0.0006718395758626803,3.7410722041732157e-6,2.4971872231596788e-6,6.764920607191625e-9
7,0.9422517556600739,0.025338028560247385,0.030192051951480125,0.00043588315843768406,0.0003796915588462809,0.00025383758825622024,0.00018204557018146382,4.241391306284139e-6,5.765966108171961e-6,1.5245748018878232e-6,7.443345864925604e-6,3.111564236407246e-6,5.898663236699346e-8,5.898663236699346e-8,4.3382974209093455e-8,4.3382974209093455e-8,1.5603658157900006e-8,0.0009335645826803734,6.486799321329441e-6,4.331781628518358e-6,1.5603658157900006e-8
8,0.9342788561891039,0.028666463441121705,0.034118217481052045,0.0005741891101649037,0.0005000535090000798,0.00033449011963320157,0.00023969899053170212,6.691389950927161e-6,9.095701107684545e-6,2.4043111567573858e-6,0.000011802177449302444,4.932019938221884e-6,1.1664629344871307e-7,1.1664629344871307e-7,8.579688727193484e-8,8.579688727193484e-8,3.084940617677824e-8,0.0012354851021951746,0.00001028371490979225,6.870157511080561e-6,3.084940617677824e-8
9,0.9263734197136576,0.03192540158375389,0.03795261869565164,0.0007293675866116066,0.000635051601055687,0.00042502764597577593,0.00030433994063583066,9.896857780074892e-6,0.000013451577666355638,3.5547198862807486e-6,0.000017544068550951482,7.329009843538906e-6,2.0760330452555853e-7,2.0760330452555853e-7,1.5271078678120646e-7,1.5271078678120646e-7,5.48925177443521e-8,0.001576667277005695,0.000015284249999793048,0.000010215058707412576,5.48925177443521e-8
