"i","Seed","R12","R15","R12R23","R12R25","R15R52","R15R52R23","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
1,0.9800000000000004,0.009090909090909094,0.010909090909090913,0,0,0,0,0,0,0,0
2,0.9604000000000013,0.017895104895104902,0.02144895104895106,0.00006293706293706296,0.00004195804195804197,0.000025174825174825185,0,0.00012587412587412592,0,0,0
3,0.9411920000000021,0.026419532006455103,0.031629056481979584,0.00018619688004303396,0.00012413125336202264,0.00007452135556750944,1.510489510489511e-7,0.000373362022592792,6.293706293706297e-7,4.195804195804197e-7,0
4,0.9223681600000022,0.0346709821616254,0.041458664790830525,0.00036723936359498506,0.00024482624239665675,0.00014706435777713417,5.966665949435181e-7,0.0007383126743079412,2.491339429800969e-6,1.6608929532006462e-6,1.510489510489511e-9
5,0.9039207968000026,0.04265609745836191,0.0509468198489715,0.0006035968464625956,0.00040239789764173045,0.00024185581345546487,1.473086075656888e-6,0.0012166818834329087,6.163733065750819e-6,4.109155377167213e-6,7.477155459924692e-9
6,0.8858423808640031,0.05038137350754867,0.06010235649027948,0.0008928723219404752,0.0005952482146269834,0.00035797426284158937,2.909490095633108e-6,0.0018045298047671952,0.000012199701530376775,8.133134353584517e-6,2.2208016216493572e-8
7,0.8681255332467236,0.05785316252038608,0.06893390507976964,0.0012327377230040998,0.0008218251486693998,0.0004945241630113386,5.028240771726313e-6,0.0024980185335011893,0.00002112842474978153,0.000014085616499854352,5.1302917172824655e-8
8,0.8507630225817895,0.06507767633200919,0.07744989598751051,0.0016209322401459624,0.0010806214934306415,0.0006506352605250465,7.945103342077081e-6,0.0032934097459600695,0.00003345580197982253,0.000022303867986548352,1.015853248900878e-7
9,0.8337477621301539,0.07206098936283793,0.08565856396773654,0.002055260676966105,0.00137017378464407,0.0008254619781638435,0.00001176946387180659,0.004187062391969806,0.00004966512438128215,0.000033110082920854766,1.810363583108586e-7
10,0.817072806887551,0.07880904151892547,0.0935679524451276,0.0025335918427083987,0.0016890612284722658,0.0010181828154511756,0.000016604541102071586,0.005175430437751381,0.0000702177311509432,0.00004681182076729547,2.987309970289245e-7
11,0.8007313507498004,0.08532764103254498,0.10118591771018513,0.0030538569809507986,0.0020359046539671992,0.001227999762662609,0.00002254759258375792,0.006255060658272084,0.00009555364957802719,0.00006370243305201812,4.647764080496404e-7
12,0.7847167237348046,0.09162246724423058,0.10852013302559439,0.0036140482336742942,0.0024093654891161964,0.0014541377280332145,0.000029690115233895995,0.0074225904780049895,0.00012609221938753517,0.00008406147959169011,6.902523338872197e-7
13,0.7690223892601088,0.09769907332746319,0.11557809264542389,0.004212217139951456,0.0028081447599676373,0.0016958439778779252,0.00003811804044975632,0.00867474585906954,0.0001622327017242781,0.00010815513448285207,9.871534862261795e-7
14,0.7536419414749074,0.10356288895716828,0.12236711574897514,0.004846473168511302,0.003230982112340868,0.0019523875893462511,0.00004791192391252631,0.010008339235747508,0.00020435487312379266,0.00013623658208252845,1.3683338907237426e-6
15,0.7385691026454096,0.10921922292316864,0.12889435029105825,0.005514982283452739,0.0036766548556351588,0.0022230589155385777,0.00005914713020947855,0.011420267494389529,0.0002528196048089057,0.0001685464032059371,1.8474531298490057e-6
16,0.7237977205925018,0.11467326568971273,0.13516677677043268,0.006215965542393994,0.004143977028262662,0.002507169062717019,0.00007189401240061523,0.012907509997747894,0.0003079694276434331,0.0002053129517622887,2.438924431943791e-6
17,0.7093217661806519,0.11993009190217585,0.14119121191811693,0.006947697726360373,0.004631798484240248,0.0028040493793494077,0.00008621808665291119,0.014467126652791347,0.00037012908306737304,0.0002467527220449153,3.1578645559499434e-6
18,0.695135330857039,0.12499466284200982,0.14697431230723543,0.007708506000727217,0.005139004000484811,0.003113050956730504,0.00010218020206247853,0.01609625602107731,0.0004396060603309768,0.0002930707068873178,4.020045422479055e-6
19,0.6812326242398984,0.12987182883099468,0.1525225778860372,0.008496768606549243,0.005664512404366162,0.0034335441409298947,0.00011983670578223675,0.01779211347077618,0.000516691120338249,0.00034446074689216595,5.04184744310384e-6
20,0.6676079717551006,0.13456633158582496,0.15784235543568678,0.009310913581621406,0.006207275721080937,0.003764918055821324,0.00013923960356999375,0.019551989369461224,0.0006016588064037414,0.0004011058709358276,6.240214500926208e-6
21,0.6542558123199989,0.13908280652404187,0.16293984195439515,0.010149417510630135,0.006766278340420089,0.004106580136953366,0.00016043671586922175,0.02137324731679607,0.0006947679422199555,0.000463178628146637,7.632610536626146e-6
22,0.6411706960735993,0.1434257850223029,0.1678210879694266,0.0110108043037672,0.007340536202511466,0.004457955676026404,0.00018347182953224971,0.02325332241626986,0.0007962621173262568,0.0005308414115508379,9.236977695318364e-6
23,0.6283472821521274,0.1475996966279594,0.172492000778485,0.011893644003191624,0.00792909600212775,0.004818487375745845,0.00020838484529308562,0.025189719585147857,0.0009063701603639288,0.0006042467735759526,0.000011071695990640862
24,0.6157803365090854,0.15160887122489392,0.17695834762195298,0.012796551616737888,0.008531034411158591,0.005187634914826335,0.00023521192109462983,0.027180011901822683,0.0010253066003958452,0.0006835377335972301,0.000013155544443571718
25,0.603464729778904,0.1554575411545494,0.18122575878742644,0.013718185978281313,0.009145457318854208,0.0055648745229265,0.00026398561137264153,0.029221838989768295,0.001153272116563224,0.000768848077708816,0.000015507663654518018
26,0.5913954351833264,0.15914984329306386,0.18529973064795782,0.014657248634183842,0.009771499089455894,0.005949698565298387,0.00029473500239647415,0.031312905437315526,0.0012904539763460372,0.000860302650897358,0.000018147519768244433
27,0.57956752647966,0.16268982108540492,0.18918562863539162,0.015612482755255522,0.010408321836837015,0.0063416151369403454,0.0003274858437642997,0.03345097925248427,0.0014370264626878755,0.000958017641791917,0.000021094869792209176
28,0.567976175950067,0.16608142653738142,0.19288869015014823,0.016582672073678847,0.011055114715785897,0.006740147666046529,0.0003622606761482988,0.035633890352123394,0.0015931512902404308,0.001062100860160287,0.000024369728229852173
29,0.5566166524310661,0.16932852216639127,0.19641402740878328,0.0175666398443547,0.011711093229569798,0.007144834526550591,0.000399078955383095,0.0378595290846251,0.0017589780109772192,0.001172652007318146,0.00002799233499133516
30,0.545484319382445,0.1724348829117468,0.19976663023062294,0.018563247830140014,0.012375498553426675,0.007555228659565403,0.0004379571729885676,0.040125844785495676,0.001934644409420766,0.001289762939613844,0.00003198312454516611
31,0.5345746329947964,0.17540419800540272,0.2029513687647487,0.0195713953104584,0.013047596873638932,0.007970897203524832,0.0004789089732160743,0.04243084436507979,0.002120276887722166,0.0014135179251481109,0.00003636269627505179
32,0.5238831403349006,0.17824007280389445,0.20597299615857864,0.020590018112775835,0.013726678741850556,0.008391421132837718,0.0005219452667050626,0.04477259092774996,0.00231599084082675,0.0015439938938845003,0.000041151786007212536
33,0.5134054775282029,0.18094603058227868,0.2088361511692672,0.02161808766644427,0.014412058444296178,0.00881639490486818,0.0005670743408350382,0.04714920242188741,0.0025218910219545086,0.001681260681303006,0.00004637123867426316
34,0.5031373679776391,0.18352551429085145,0.21154536071911925,0.02265461007842637,0.01510307338561758,0.009245426115060356,0.0006143019668558969,0.04955885031999433,0.0027380718986189513,0.0018253812657459678,0.00005204198208261354
35,0.49307462061808666,0.18598188827540407,0.21410504239619102,0.023698625230424927,0.015799083486949948,0.009678135160029501,0.0006636315038777001,0.05199975832829185,0.002964617999403215,0.0019764119996021436,0.00005818500175117251
36,0.4832131282057252,0.1883184399617614,0.2165195069012243,0.0247492058969504,0.016499470597966928,0.01011415490844515,0.0007150639997991001,0.054470201125170974,0.003201604251707464,0.0021344028344716433,0.0000648213167899495
37,0.47354886564161075,0.1905383815053316,0.21879296044203903,0.025805456883870013,0.017203637922580003,0.010553130379535765,0.00076859828925178,0.0569685031278774,0.003449096310676968,0.0022993975404513125,0.00007197195678794051
38,0.4640778883287787,0.19264485140638263,0.22092950707648432,0.026866514186991302,0.017911009457994193,0.01099471842904787,0.0008242310886364768,0.05949303728682401,0.0037071508795156684,0.0024714339196771126,0.00007965793968045831
39,0.45479633056220325,0.19464091609174544,0.222933151005026,0.0279315441702425,0.018621029446828325,0.01143858744249624,0.0008819570883243993,0.06204222390693729,0.003975816021385582,0.0026505440142570546,0.00008790025056682308
40,0.4457004039509593,0.19652957146362995,0.22480779881402657,0.02899974276302139,0.01933316184201425,0.011884417035545169,0.0009417690420961327,0.06461452949545682,0.004255131463088007,0.0028367543087253378,0.00009671982145006707
41,0.43678639587194035,0.19831374441622612,0.2265572616707519,0.03007033467629323,0.020046889784195478,0.012331897761364266,0.0010036578538884424,0.06720846563561866,0.00454512889071822,0.0030300859271454803,0.0001061375118710284
42,0.42805066795450175,0.19999629432074884,0.2281852574711165,0.031142572637027247,0.02076171509135149,0.012780730824805506,0.0010676126619177436,0.0698225878856658,0.004845832237481152,0.003230554824987435,0.00011617409040991282
43,0.41948965459541193,0.20158001447957133,0.22969541294115994,0.03221573664056985,0.02147715776037989,0.013230627803251557,0.0011336209202473992,0.07245549470264022,0.005157257963851425,0.00343817197590095,0.00012685021702909025
44,0.41109986150350386,0.20306763355008006,0.23109126569322533,0.033289133220561186,0.022192755480374114,0.013681310373988571,0.0012016684778644346,0.07510582639042283,0.005479415330257123,0.003652943553504749,0.00013818642623156425
